,Name,Actual_Postion,Predicted_Postion
2175,V. Kovalenko,CAM,LM
2176,Lato,LB,RB
2177,C. Söyüncü,CB,CB
2178,Joaquín,CB,CB
2179,J. Bijlow,GK,GK
2180,S. Villa,RM,RM
2181,Aleix Febas,CM,CAM
2182,S. Lammers,ST,ST
2183,S. Cáseres,CDM,CDM
2184,M. Pongračić,CB,CB
2185,Francis,RM,RM
2186,C. Musonda,RM,LM
2187,Lucas Torró,CDM,CDM
2188,L. Giannetti,CB,CB
2189,Marlon,CB,CB
2190,Pozo,CAM,CAM
2191,O. McBurnie,ST,ST
2192,A. Cubas,CM,CDM
2193,C. Adams,ST,ST
2194,E. Buendía,RM,CAM
2195,P. Cissé,CB,CB
2196,T. Cardona,CB,CB
2197,M. Degenek,CB,CB
2198,L. Rodríguez,LM,CAM
2199,C. Bassogog,ST,ST
2200,Ontiveros,LM,CAM
2201,C. Awaziem,CB,CB
2202,Pedro Rebocho,LB,LB
2203,S. Lukić,CDM,CDM
2204,E. Löwen,CM,CDM
2205,J. Stephens,CB,CB
2206,B. Petković,ST,CAM
2207,A. Browne,CAM,CDM
2208,V. Cantillo,CDM,CDM
2209,S. Benrahma,LW,LM
2210,O. Watkins,RW,LM
2211,Unai López,CM,CM
2212,Walace,CDM,CDM
2213,Pedro Nuno,LW,CAM
2214,H. Diallo,ST,ST
2215,K. Adams Nuhu,CB,CB
2216,K. Walker-Peters,RB,RB
2217,Francisco Geraldes,CAM,CAM
2218,B. Heynen,CM,CDM
2219,J. Aidoo,CB,CB
2220,Waldo,LM,LW
2221,Pol Lirola,RB,LB
2222,C. Goldson,CB,CB
2223,F. Quignon,CDM,CDM
2224,V. Verre,CAM,CAM
2225,K. Olsson,CM,CAM
2226,D. Kourmpelis,CDM,CDM
2227,Kévin Rodrigues,LB,LB
2228,I. Kutepov,CB,CB
2229,R. Durmisi,LB,LB
2230,J. O'Connell,CB,CB
2231,I. Lichnovsky,CB,CB
2232,L. Romero,CDM,CDM
2233,J. Silva,LWB,LB
2234,A. El Ghazi,LW,ST
2235,G. Nkoudou,LM,LM
2236,R. Martínez,ST,ST
2237,B. Zungu,CDM,CDM
2238,J. Alonso,CB,CB
2239,A. Barreca,LB,LB
2240,V. Vada,CM,CDM
2241,R. Tapia,CDM,CDM
2242,A. Masina,LB,RB
2243,Caju,LB,LB
2244,H. Preciado,ST,ST
2245,J. St. Juste,CB,RB
2246,A. Touré,RB,RB
2247,William,RB,LB
2248,Gil Dias,RM,LW
2249,R. Krunić,CM,CAM
2250,P. Ševčík,CM,LM
2251,B. Gibson,CB,CB
2252,Vadillo,RM,LM
2253,P. Gouano,CB,CB
2254,S. Prcić,CM,CDM
2255,A. Webster,CB,CB
2256,E. Krafth,RB,LB
2257,Dória,CB,CB
2258,A. Baba,LB,LB
2259,B. Verstraete,CDM,CDM
2260,Manquillo,RWB,LB
2261,B. Dack,CAM,CAM
2262,T. Mings,CB,CB
2263,J. Amavi,LB,RB
2264,Bruno Varela,GK,GK
2265,F. Hadergjonaj,RB,RB
2266,R. Thomas,CM,CM
2267,J. Aholou,CDM,CDM
2268,A. Hack,CB,CB
2269,Iván Alejo,RM,LM
2270,Pedro Sá,CDM,CDM
2271,D. Hovorka,CB,CB
2272,M. Trávník,CM,CAM
2273,Bruno Lamas,CAM,CAM
2274,T. Kaminski,GK,GK
2275,R. Jack,CDM,CDM
2276,J. Rodríguez,GK,GK
2277,J. Ananidze,CAM,CAM
2278,B. Hamid,GK,GK
2279,F. Rønnow,GK,GK
2280,J. Geis,CDM,CDM
2281,G. Caprari,CF,CAM
2282,Y. Ayoub,CM,LM
2283,D. Arslanagic,CB,CB
2284,J. Egan,CB,CB
2285,S. Dioudis,GK,GK
2286,Lucas Silva,CDM,CDM
2287,J. Nsame,ST,ST
2288,M. Agu,CDM,CDM
2289,Rubén García,CAM,CAM
2290,D. Heuer Fernandes,GK,GK
2291,Iuri Medeiros,RW,CAM
2292,C. Njie,ST,ST
2293,L. Diony,ST,ST
2294,S. van Beek,CB,CB
2295,L. Cavallini,ST,ST
2296,D. Rolán,ST,ST
2297,F. Mora,ST,ST
2298,R. Rey,GK,GK
2299,Burgui,LM,LM
2300,C. Stanković,GK,GK
2301,M. Tisserand,CB,CB
2302,Kahraba,LM,LW
2303,Chema Rodríguez,CB,CB
2304,K. Lawrence,LB,LB
2305,Hélder Costa,RM,RM
2306,Ivi,LM,LM
2307,K. Dolly,CAM,CAM
2308,J. Gallardo,LM,RM
2309,A. González,RW,RM
2310,Charles,GK,GK
2311,G. Cimirot,CDM,CDM
2312,A. Bouzat,RW,RM
2313,A. Bălută,RW,LM
2314,T. Holeš,RB,RB
2315,H. Lindner,GK,GK
2316,Daniel Ayala,CB,CB
2317,J. Bruma,CB,CB
2318,K. Babacar,ST,ST
2319,Jordi Amat,CB,CB
2320,G. Trauner,CB,CB
2321,A. Cornelius,ST,ST
2322,E. Dilaver,CB,CB
2323,J. Ralls,CM,CDM
2324,Rubén Pardo,CM,CM
2325,R. Fredericks,RB,RB
2326,K. Roofe,ST,ST
2327,S. Falette,CB,CB
2328,L. Vietto,ST,ST
2329,F. Helander,CB,CB
2330,D. Dessoleil,CB,CB
2331,T. Letschert,CB,CB
2332,J. van Overeem,CM,CAM
2333,João Schmidt,CM,CDM
2334,Cho Hyun Woo,GK,GK
2335,Diego Rico,LB,LB
2336,C. González,ST,ST
2337,B. Valdez,CB,CB
2338,Maurício,CB,CB
2339,João Victor,LW,LM
2340,D. Saba,CAM,RM
2341,Oier,GK,GK
2342,L. Cooper,CB,CB
2343,F. Đuričić,CAM,CAM
2344,L. Crisetig,CM,CDM
2345,S. Bell,CB,CB
2346,T. Sainsbury,CB,CB
2347,Diego Mariño,GK,GK
2348,E. Sviatchenko,CB,CB
2349,S. Kittel,LW,CAM
2350,G. Shinnie,CDM,RB
2351,J. Schlupp,LM,RB
2352,F. Viviani,CDM,CDM
2353,O. Hiljemark,CM,CM
2354,D. Foulquier,RM,RB
2355,F. Hübner,CB,CB
2356,S. Bahoken,ST,ST
2357,T. Delaine,LB,RB
2358,Jairo,LM,RM
2359,A. Ciciretti,CAM,CAM
2360,J. Ferri,CM,CM
2361,J. Damm,RM,RM
2362,E. Durm,LB,RB
2363,J. Ramírez,LW,CM
2364,F. Zuqui,CM,CDM
2365,C. Lema,CB,CB
2366,Álvaro García,LM,RM
2367,Carlos Mané,RW,LM
2368,S. Adamyan,CAM,ST
2369,T. Hlatshwayo,CB,CB
2370,A. Romero,ST,ST
2371,Z. Ferhat,RM,RM
2372,Munir,GK,GK
2373,H. Martín,ST,ST
2374,T. Goiginger,RW,RM
2375,Fábio Martins,LM,LM
2376,G. Ferrari,CB,CB
2377,M. Trauco,LB,CDM
2378,J. Zmrhal,LM,LM
2379,G. Blanco Leschuk,ST,ST
2380,Felipe,CB,CB
2381,Tarantini,CM,CDM
2382,R. Nuzzolo,ST,LM
2383,Ricardo Costa,CB,CB
2384,L. Butelle,GK,GK
2385,Y. Pelé,GK,GK
2386,M. Rodríguez,LM,CAM
2387,D. Benaglio,GK,GK
2388,R. Hubník,CB,CB
2389,F. Belluschi,CAM,CAM
2390,Dani Giménez,GK,GK
2391,C. Maggio,RB,LB
2392,F. Magnanelli,CDM,CDM
2393,R. Salin,GK,GK
2394,S. Davis,CM,CM
2395,A. Lennon,RM,RM
2396,A. Talavera,GK,GK
2397,I. Afellay,CAM,CAM
2398,O. Peralta,ST,ST
2399,W. Janssen,CB,CB
2400,G. İnler,CDM,CDM
2401,Jurado,CAM,CAM
2402,D. Padelli,GK,GK
2403,B. Sharp,ST,ST
2404,D. Limberský,LB,LB
2405,C. Davies,CB,CB
2406,S. Larsson,CM,CM
2407,S. M'Bia,CDM,CB
2408,R. Vlaar,CB,CB
2409,S. Sinclair,LM,LM
2410,S. Long,ST,ST
2411,A. Ulmer,LB,LB
2412,F. Bastians,CB,CB
2413,P. Aguilar,RB,RB
2414,P. Mouche,LM,LM
2415,M. Sow,ST,ST
2416,P. Hetemaj,CM,RB
2417,Crespo,CB,CB
2418,K. Westwood,GK,GK
2419,O. Trejo,CM,LM
2420,L. Cigarini,CM,CM
2421,L. Antonelli,LB,RB
2422,Joselu,ST,ST
2423,M. Andújar,GK,GK
2424,Baiano,RB,LB
2425,K. Kamara,ST,ST
2426,M. Erdinç,ST,ST
2427,S. Missiroli,CM,CDM
2428,F. González,ST,ST
2429,Bojan,CAM,CAM
2430,Nuno Coelho,CB,CDM
2431,B. Jokič,LWB,LB
2432,T. Reginiussen,CB,CB
2433,H. Medunjanin,CM,CDM
2434,G. Svensson,CDM,CDM
2435,T. Sippel,GK,GK
2436,N. Bertolo,LM,LM
2437,G. Bong,LB,LB
2438,K. Grosicki,LM,LM
2439,A. Aguilar,CDM,CDM
2440,P. Baysse,CB,CB
2441,L. Deaux,CDM,CDM
2442,L. Christodoulopoulos,LM,LM
2443,Ivo,CM,CAM
2444,S. Arfield,CM,CAM
2445,Adrián González,CM,CDM
2446,R. Hennings,ST,ST
2447,L. Robles,GK,GK
2448,Titi,CB,CB
2449,H. Saivet,CAM,CAM
2450,A. Chedjou,CB,CB
2451,F. Frei,CDM,CM
2452,B. Bannan,CM,CAM
2453,A. Bjelland,CB,CB
2454,N. Müller,RM,ST
2455,J. Biabiany,RW,RM
2456,Sergio Tejera,CM,CDM
2457,H. Arter,CM,CDM
2458,Fábio Pacheco,CDM,CDM
2459,J. Russell,RW,LM
2460,Yoel,GK,GK
2461,J. Chester,CB,CB
2462,J. van der Heijden,CB,CDM
2463,F. Navarro,RB,LB
2464,Dentinho,CAM,CAM
2465,M. Alustiza,ST,CAM
2466,Montoro,CDM,CDM
2467,R. Halliche,CB,CB
2468,J. Dueñas,CM,CDM
2469,S. Morrison,CB,CB
2470,C. Zambrano,CB,CB
2471,A. Chahechouhe,LM,LM
2472,Juanfran,RB,LB
2473,L. Balogun,CB,CB
2474,B. Ecuélé Manga,CB,CB
2475,B. Poulain,CB,CB
2476,M. Valdifiori,CDM,CDM
2477,A. N'Diaye,CM,CDM
2478,Alex Bergantiños,CDM,CDM
2479,E. Room,GK,GK
2480,B. Fornaroli,ST,ST
2481,M. Risse,RM,LB
2482,D. Diekmeier,RB,LB
2483,J. Hoilett,LM,LM
2484,M. Ekici,CAM,CAM
2485,J. Hušbauer,CM,CAM
2486,Alcalá,CB,CB
2487,Balenziaga,LB,RB
2488,S. Sunzu,CB,CB
2489,Míchel,CM,CAM
2490,O. Martínez,CM,CAM
2491,Pedro Sánchez,RM,RM
2492,I. Opara,CB,CB
2493,M. Caruzzo,CB,CB
2494,M. Silvestri,GK,GK
2495,Sandro,CDM,CDM
2496,C. Borges,CDM,CDM
2497,P. Pekarík,RB,RB
2498,G. Töre,RM,LM
2499,S. Sow,CDM,CDM
2500,A. Bedoya,CM,CM
2501,S. Corchia,RB,LB
2502,G. Schennikov,LWB,LB
2503,N. Hult,LB,RB
2504,L. Sané,CB,CB
2505,Renatinho,RW,CAM
2506,F. Rinaudo,CDM,CDM
2507,M. Caraglio,ST,ST
2508,Rafael,GK,GK
2509,E. Stevens,LWB,LB
2510,F. Klos,ST,ST
2511,A. Nyom,RWB,RB
2512,M. Zeegelaar,LB,RB
2513,C. Clemens,RM,LM
2514,J. Larsen,RB,RB
2515,J. Obi,CM,CDM
2516,D. Sakho,ST,ST
2517,C. Hourihane,CM,CDM
2518,S. Ilsanker,CDM,CB
2519,F. Hanin,LB,LB
2520,M. Leckie,RM,RM
2521,Iñigo Pérez,CDM,CDM
2522,Anselmo,CDM,CDM
2523,J. Toornstra,CAM,CAM
2524,Leandro Damião,ST,ST
2525,M. Linnes,RB,RB
2526,R. Amalfitano,CM,CDM
2527,G. Tzavellas,CB,CB
2528,B. Dabo,CM,CDM
2529,I. Nestorovski,ST,ST
2530,T. Klose,CB,CB
2531,Ilie Sánchez,CDM,CDM
2532,A. Christiansen,CM,CAM
2533,Alan Patrick,CAM,LM
2534,L. Hinterseer,ST,ST
2535,Camilo,ST,ST
2536,Hong Jeong Ho,CB,CB
2537,Marafona,GK,GK
2538,N. De Préville,CF,ST
2539,Diego,LM,CAM
2540,L. Krejčí,LW,RM
2541,C. Ciano,ST,CAM
2542,J. Sánchez Miño,LB,CM
2543,L. Griffiths,ST,ST
2544,T. Serero,CM,CM
2545,T. Bifouma,RM,LM
2546,M. Bakalorz,CDM,CDM
2547,Juan Carlos,CAM,CAM
2548,L. Advíncula,RB,RB
2549,Y. Yotún,CM,CAM
2550,L. Melgarejo,RW,LM
2551,Diego Oliveira,ST,ST
2552,Ewerton,CB,CB
2553,M. Borjan,GK,GK
2554,J. Kopic,LM,LM
2555,C. Atsu,LM,RM
2556,H. Canteros,CM,CDM
2557,João Pereira,RB,RB
2558,M. Morozyuk,RB,LB
2559,B. Butko,RB,RB
2560,Pedro Henrique,RM,LM
2561,H. Gnohere,ST,ST
2562,P. Capelle,LM,LB
2563,Jozabed,CM,CAM
2564,R. Ghezzal,RW,RM
2565,P. De Blasis,LM,LM
2566,A. Chumacero,CM,CM
2567,A. Semenov,CB,CB
2568,R. Czichos,CB,CB
2569,A. Hahn,RM,ST
2570,F. Niederlechner,ST,ST
2571,D. Lazović,LM,RM
2572,M. Pavlović,CB,CB
2573,F. Bachirou,CDM,CDM
2574,D. Rodríguez,CDM,CDM
2575,N. Vikonis,GK,GK
2576,R. Pérez,CB,CB
2577,D. Bocanegra,CB,LB
2578,F. Pardo,RW,LM
2579,W. Morelo,ST,ST
2580,A. Ricaurte,CAM,CM
2581,P. Goltz,CB,CB
2582,D. González,CM,CDM
2583,S. Romero,ST,ST
2584,O. Opazo,RB,RB
2585,L. Villafañez,RM,LM
2586,B. Alemán,CAM,CDM
2587,D. Braghieri,CB,CB
2588,E. Kalinski,CDM,CDM
2589,E. Puch,LW,LM
2590,C. Rius,RW,RM
2591,R. Botta,RM,CAM
2592,L. Zelarayán,CAM,CAM
2593,D. Kreilach,CM,CM
2594,Idris,CDM,CDM
2595,I. Slimani,ST,ST
2596,A. Oyongo,LWB,LB
2597,Edgar Méndez,RM,RM
2598,A. Chávez,ST,ST
2599,S. Vilakazi,CAM,CAM
2600,S. Özbayraklı,RB,LB
2601,P. Martinez,CB,CB
2602,Eraso,CAM,CM
2603,C. Mayada,RB,LB
2604,Sabin Merino,LW,ST
2605,L. Gamba,ST,CAM
2606,Jorge Miramón,RB,RB
2607,Enaldo Praz,LB,RB
2608,Jailson Caeiro,RB,RB
2609,Kel Perinho,CB,CB
2610,Hugo Goiteira,CB,CB
2611,Osvaldo Lodeiro,CB,CB
2612,Fabiano Sonta,CB,CB
2613,Robson Denho,CDM,CDM
2614,Claudiano Sobrino,CDM,CDM
2615,Edvaldisco,CDM,RB
2616,Sebas Couteira,CAM,CAM
2617,Kauã Abranches,CAM,LM
2618,Nicolás Formido,CAM,CAM
2619,Victorino Magela,GK,GK
2620,Adrianiscito,GK,GK
2621,Padilhisco,LB,LB
2622,Jesus Andradaldo,RB,RB
2623,Enaldo Toxeto,CB,CB
2624,Duirval Diniz,CB,CB
2625,Edercinho Sepa,CDM,CDM
2626,Pascoal Muscato,CDM,CDM
2627,Elias Fontoira,CDM,CB
2628,Fábio Melitinho,CAM,CAM
2629,Marlon Nideiro,CAM,CAM
2630,Jacson Zonta,CAM,LM
2631,Leo Caldeirinha,CAM,CAM
2632,Alvildo Sousa,CAM,CAM
2633,Hélton Celanova,ST,ST
2634,Erick Gameira,ST,ST
2635,Jadson Vidigal,ST,ST
2636,Nuno da Costa,ST,ST
2637,N. Silva,LM,RM
2638,F. Zampedri,ST,ST
2639,Caio Milaçar,CAM,CAM
2640,Salvi Sánchez,RM,RM
2641,D. Benlamri,CB,CB
2642,Carlitos,ST,ST
2643,Douglas,ST,ST
2644,M. Diop,ST,ST
2645,Enric Gallego,ST,ST
2646,E. Sarić,CM,CDM
2647,I. Traoré,CM,CDM
2648,J. Kayamba,RM,LM
2649,J. Santigaro,GK,GK
2650,W. Faríñez,GK,GK
2651,C. Romero,CB,CB
2652,Brahim,LW,LW
2653,R. James,RB,LB
2654,I. Akhmetov,CM,CAM
2655,E. Håland,ST,ST
2656,M. Shaparenko,CM,CM
2657,Puado,ST,ST
2658,R. Kent,LW,LM
2659,S. Salcedo,CB,CB
2660,Unai Simón,GK,GK
2661,A. Tuanzebe,CB,CB
2662,T. Tomiyasu,CB,CB
2663,Maycon,CM,CDM
2664,I. Oblyakov,CM,LM
2665,M. Senesi,CB,CB
2666,Óscar,CAM,CAM
2667,Stephen Eustáquio,CDM,CDM
2668,Pedro Porro,RWB,RB
2669,B. Drągowski,GK,GK
2670,D. Kownacki,ST,ST
2671,Fede,CDM,CDM
2672,J. Gélin,CB,CB
2673,R. van Drongelen,CB,CB
2674,J. Eggestein,RW,ST
2675,M. Camara,CDM,CDM
2676,Léo Jabá,RM,RM
2677,D. Rossi,LW,RW
2678,L. Majer,CAM,CAM
2679,M. Mittelstädt,LM,LB
2680,A. Ćorić,CAM,CAM
2681,Lyanco,CB,CB
2682,Álvaro Tejero,RB,LB
2683,M. Pereira Lage,LM,CAM
2684,S. Grandsir,RM,LM
2685,D. Okereke,ST,ST
2686,M. Richter,RM,LM
2687,J. Savarino,RW,LM
2688,N. De la Cruz,CAM,CAM
2689,P. Rajkovic,GK,GK
2690,R. Rojas,CB,RB
2691,L. Boyé,LM,CAM
2692,M. Friedrich,CB,CB
2693,E. Unsain,GK,GK
2694,B. Kuscevic,CB,CB
2695,N. Fernández,ST,ST
2696,L. Haraslín,LM,LM
2697,A. Donis,ST,ST
2698,C. Montes,CB,CB
2699,G. Larsonneur,GK,GK
2700,M. Cafaro,LM,LM
2701,M. Wöber,CB,CB
2702,T. Fosu-Mensah,RB,RB
2703,Gabriel,CB,CB
2704,C. Mepham,CB,CB
2705,S. Alakouch,RB,RB
2706,Mama Baldé,RW,RM
2707,Pau Torres,CB,CB
2708,T. Bašić,CM,CB
2709,Y. Benzia,CAM,CAM
2710,M. Stępiński,ST,ST
2711,R. Bazoer,CM,CM
2712,C. Akpom,ST,ST
2713,D. Biraschi,CB,CB
2714,I. Arboleda,GK,GK
2715,D. von Ballmoos,GK,GK
2716,B. Celina,CAM,CAM
2717,B. Mensah,CAM,CAM
2718,Sivera,GK,GK
2719,P. Olayinka,LM,LM
2720,K. Iheanacho,ST,ST
2721,Roger Guedes,ST,LM
2722,U. Agbo,CDM,CDM
2723,André Horta,CM,CM
2724,F. Soldano,ST,ST
2725,J. Cádiz,ST,ST
2726,F. Maouassa,LB,LB
2727,R. Perraud,LB,LB
2728,Aurélio Buta,RB,LB
2729,V. Rosier,RB,LB
2730,Kim Min Jae,CB,CB
2731,U. Račić,CDM,CDM
2732,O. Kolář,GK,GK
2733,Luca Sangalli,CM,LM
2734,G. Zahid,CAM,CAM
2735,A. Mawson,CB,CB
2736,H. Mukhtar,CAM,CAM
2737,L. Phiri,CDM,CDM
2738,A. Sørloth,ST,ST
2739,O. Ntcham,CM,CDM
2740,J. Figal,CB,CDM
2741,Nélson Monte,CB,CB
2742,I. Success,ST,RM
2743,A. Blin,CDM,CDM
2744,J. Omlin,GK,GK
2745,D. Blanco,CM,CM
2746,R. Zentner,GK,GK
2747,J. Kenny,RB,LB
2748,B. Kamara,GK,GK
2749,S. Mounié,ST,ST
2750,Arana,LM,LB
2751,G. Kerk,RW,ST
2752,Murilo,LW,ST
2753,U. Çakır,GK,GK
2754,C. Roldan,CDM,CDM
2755,A. De Sart,CM,CDM
2756,D. Kamada,CF,CAM
2757,Álvaro Jiménez,RM,RM
2758,U. Bozok,ST,ST
2759,S. Plavšić,LM,RM
2760,Dani Raba,RM,LM
2761,David Juncà,LB,LB
2762,M. Pigliacelli,GK,GK
2763,J. Ibe,RM,LM
2764,S. Kapino,GK,GK
2765,N. Murru,LB,LB
2766,P. Nardi,GK,GK
2767,C. Robinson,ST,LW
2768,Moi Gómez,CM,CAM
2769,H. Magnússon,CB,CB
2770,Mattheus Oliveira,CAM,CM
2771,Eugeni,CAM,CAM
2772,Edgar Ié,CB,CB
2773,M. Stendera,CM,CM
2774,F. Barba,CB,CB
2775,L. Öztunalı,RM,RM
2776,R. Walter,CM,CDM
2777,F. Campos,RB,RB
2778,F. Angileri,LB,RB
2779,L. Janson,ST,ST
2780,M. Miazga,CB,CB
2781,Rafa Soares,LB,LB
2782,J. Dinenno,ST,ST
2783,G. Silva,CB,LB
2784,M. Ilaimaharitra,CDM,CDM
2785,S. Ingason,CB,CB
2786,J. Rinne,GK,GK
2787,O. Tufan,CDM,CDM
2788,D. Toköz,CDM,CDM
2789,T. Parker,CB,CB
2790,A. Zambo Anguissa,CDM,CDM
2791,B. Ramselaar,CAM,CAM
2792,T. Ouwejan,LB,CDM
2793,J. Mišić,CM,CM
2794,A. Soto,LB,LB
2795,Marc Navarro,RB,LB
2796,Carlos Ponck,CB,CB
2797,P. Aquino,CDM,CDM
2798,R. Koch,CDM,CB
2799,Yuri Ribeiro,LB,LB
2800,Marcão,ST,ST
2801,Wilson Manafá,LB,RB
2802,R. Yaremchuk,ST,ST
2803,N. Radonjić,LW,LM
2804,Ignasi Miquel,CB,CB
2805,J. Bryan,LB,RB
2806,H. Van Crombrugge,GK,GK
2807,D. Roef,GK,GK
2808,B. Samba,GK,GK
2809,Insua,CB,CB
2810,J. Uronen,LB,LB
2811,B. Djimsiti,CB,CB
2812,Diego Lopes,CAM,CAM
2813,T. Murg,RM,LM
2814,C. Paterson,ST,RM
2815,Frederico Venâncio,CB,CB
2816,Samir,CB,CB
2817,P. Arriola,RM,RM
2818,E. Crivelli,ST,ST
2819,M. Sobottka,CDM,CDM
2820,D. Luckassen,CB,CB
2821,W. Bou,ST,ST
2822,Hernani,CDM,CDM
2823,Serginho,ST,CAM
2824,G. Akkan,GK,GK
2825,J. Góralski,CDM,CDM
2826,M. Mohammadi,LB,RB
2827,V. Jovanović,CB,CB
2828,M. Mitrović,CB,CB
2829,Vesga,CM,CDM
2830,Marc Muniesa,CB,CB
2831,M. Heča,GK,GK
2832,Y. Sanogo,ST,ST
2833,Álex Fernández,CAM,CM
2834,L. Moore,CB,CB
2835,A. Limbombe,LW,LM
2836,L. Landre,CB,CB
2837,J. Brabec,CB,CB
2838,Edgar Badía,GK,GK
2839,Patric,CB,RB
2840,M. van der Hoorn,CB,CB
2841,A. Bakasetas,CAM,CAM
2842,C. Jullien,CB,CB
2843,D. Moberg Karlsson,RM,RM
2844,R. Strebinger,GK,GK
2845,K. Wimmer,CB,CB
2846,A. Hassan,ST,ST
2847,I. Mbaye,RB,LB
2848,A. Brignoli,GK,GK
2849,C. Mbemba,CB,CB
2850,O. Kayode,ST,ST
2851,K. Karaman,LM,ST
2852,A. Scholz,CB,CB
2853,Tiago Silva,CAM,LM
2854,W. Zimmerman,CB,CB
2855,D. Amartey,RB,CDM
2856,A. Ruiz,CF,CAM
2857,Y. Gordillo,CDM,CDM
2858,A. Hunou,ST,ST
2859,César,CB,CB
2860,Lucas Evangelista,CM,CM
2861,J. Añor,RM,CAM
2862,S. Klaiber,RB,LB
2863,J. Agudelo,ST,ST
2864,A. Esiti,CDM,CB
2865,Y. Cardinale,GK,GK
2866,T. Leibold,LB,LB
2867,Iago,CB,CB
2868,B. Perlaza,CDM,CDM
2869,M. Santos,ST,ST
2870,B. Lozano,LM,CAM
2871,Jamiro Monteiro,CM,CDM
2872,M. Moreno,RW,LM
2873,R. Glatzel,ST,ST
2874,M. Siopis,CDM,CDM
2875,J. Gressel,RM,LM
2876,Y. Meriah,CB,CB
2877,G. Masouras,RM,LM
2878,M. Hanousek,LB,RB
2879,F. Gulbrandsen,ST,ST
2880,M. Abeid,CDM,CDM
2881,K. Darlow,GK,GK
2882,M. Çağıran,CDM,CDM
2883,M. Kamiński,CB,CB
2884,S. Skrzybski,ST,ST
2885,M. Leitner,CM,CM
2886,B. Decordova-Reid,ST,LM
2887,T. Trybull,CDM,CDM
2888,K. Frei,LM,LM
2889,M. van Buren,ST,ST
2890,M. Luongo,CDM,CDM
2891,A. Pritchard,CAM,CAM
2892,Y. Chibsah,CM,CDM
2893,M. Ishak,ST,ST
2894,Y. Banana,CB,CB
2895,W. Vaulks,CDM,CDM
2896,T. Lawrence,LM,CAM
2897,Hwang Ui Jo,ST,ST
2898,C. Baeza,CM,CDM
2899,J. Czerwiński,CB,CB
2900,M. Zaldivia,CB,CB
2901,F. Avenatti,ST,ST
2902,P. Žulj,CM,CAM
2903,I. Chochev,CM,CDM
2904,S. Gümüş,RM,ST
2905,Pere Milla,CAM,RM
2906,Raillo,CB,CB
2907,L. Freeman,CAM,LM
2908,F. Macheda,ST,ST
2909,J. Fleck,CM,CDM
2910,K. Johnsson,GK,GK
2911,Tomeu Nadal,GK,GK
2912,R. Yabo,CM,CM
2913,Juanpe,CB,CB
2914,B. Nuytinck,CB,CB
2915,L. Benito,LB,RB
2916,A. Souquet,RWB,RB
2917,L. Sobiech,CB,CB
2918,K. Long,CB,CB
2919,P. Kasami,CAM,CM
2920,M. Vydra,CAM,ST
2921,Guitián,CB,CB
2922,N. Isimat-Mirin,CB,CB
2923,O. Rashid,CM,CM
2924,A. Musa,LM,RM
2925,O. Hernández,LM,RM
2926,L. Pernica,CB,CB
2927,P. Ceppelini,CAM,CAM
2928,D. Pavelka,CDM,CDM
2929,A. El-Shenawy,GK,GK
2930,A. Reach,RW,LM
2931,Clerc,LB,LB
2932,R. Alioui,ST,ST
2933,G. Brugman,CM,CM
2934,A. Poko,CDM,CDM
2935,Bigas,CB,CB
2936,D. Ward,GK,GK
2937,M. Dijks,LB,RB
2938,M. Poundjé,LB,RB
2939,F. Boulaya,RW,LM
2940,N. Gießelmann,LB,LB
2941,J. Bela,LM,LM
2942,F. Aristeguieta,ST,ST
2943,Gonçalo Silva,CB,CB
2944,F. Tobio,CB,CB
2945,M. Nervo,CB,CB
2946,L. Gil,CDM,LB
2947,J. Beauguel,ST,ST
2948,G. Di Lorenzo,RM,LB
2949,M. Oršić,LM,LM
2950,Lee Jae Sung,CAM,CAM
2951,M. Jojić,CM,CM
2952,E. Goldaniga,CB,CB
2953,Sidcley,LM,CDM
2954,Lekue,RB,RB
2955,A. Mina,CB,CB
2956,Miguel Vieira,CB,CB
2957,C. Ninga,LM,ST
2958,S. Taniguchi,CB,CB
2959,O. Haddadi,LB,RB
2960,K. Schindler,RM,LM
2961,K. Laba,ST,ST
2962,M. Stekelenburg,GK,GK
2963,D. Dainelli,CB,CB
2964,N. Penneteau,GK,GK
2965,Cifuentes,GK,GK
2966,Mario Álvarez,CB,CB
2967,C. Kameni,GK,GK
2968,M. Pinilla,ST,ST
2969,Rubén Castro,ST,ST
2970,A. Walke,GK,GK
2971,A. Koné,ST,ST
2972,S. İnan,CM,CM
2973,L. Jiménez,CAM,CAM
2974,G. Pandev,ST,CF
2975,Bruno Alves,CB,CB
2976,Angulo,ST,ST
2977,C. Fuchs,LB,LB
2978,F. Marchetti,GK,GK
2979,G. Rodríguez,CB,CB
2980,J. Gandolfi,CB,CB
2981,R. Martínez,CM,CAM
2982,Mikel Rico,CM,CDM
2983,Javi Fuego,CDM,CDM
2984,A. Rebrov,GK,GK
2985,P. Verhaegh,RB,RB
2986,V. Demarconnay,GK,GK
2987,J. Insaurralde,CB,CB
2988,J. Leca,GK,GK
2989,Lee Chung Yong,CAM,LM
2990,A. McGeady,LM,LM
2991,J. Lewis,GK,GK
2992,N. Cardozo,CM,LM
2993,M. Russ,CB,CB
2994,P. Tschauner,GK,GK
2995,C. Gentner,CM,CDM
2996,S. Viera,GK,GK
2997,M. Angeleri,RB,CB
2998,S. Naismith,ST,ST
2999,J. Mikel,CM,CDM
3000,O. Veigneau,LB,CDM
3001,C. Keșerü,ST,ST
